Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Home_xG,Away_xG,xG_Diff,H2H_Avg_Points,Home_Home_Form,Away_Away_Form
2020-10-30,Wolves,Crystal Palace,2,0,H,2.05,3.13,4.27,1.3333333333333333,1.2393162393162391,0.09401709401709413,1.0,4.0,6.0
2020-10-31,Sheffield United,Man City,0,1,A,9.43,5.76,1.31,0.22097378277153557,1.2606837606837606,-1.0397099779122252,1.0,1.0,5.0
2020-10-31,Liverpool,West Ham,2,1,H,1.39,5.26,7.43,3.3146067415730336,2.206196581196582,1.1084101603764518,1.0,9.0,4.0
2020-11-01,Newcastle,Everton,2,1,H,3.71,3.47,2.06,0.9084249084249083,1.5168195718654436,-0.6083946634405353,1.0,3.0,6.0
2020-11-01,Man United,Arsenal,0,1,A,2.04,3.66,3.58,0.6056166056166055,2.275229357798165,-1.6696127521815594,1.0,1.0,3.0
2020-11-01,Aston Villa,Southampton,3,4,A,2.46,3.6,2.78,2.422466422466422,1.2640163098878694,1.1584501125785525,1.0,6.0,4.0
2020-11-01,Tottenham,Brighton,2,1,H,1.63,4.17,5.29,1.5140415140415138,1.8960244648318045,-0.38198295079029077,1.0,2.0,4.0
2020-11-02,Leeds,Leicester,1,4,A,2.56,3.56,2.68,0.7482993197278912,2.8448275862068964,-2.0965282664790053,1.0,4.0,9.0
2020-11-02,Fulham,West Brom,2,0,H,2.44,3.32,3.01,0.5986394557823128,1.5172413793103448,-0.9186019235280319,1.0,0.0,1.0
2020-11-06,Brighton,Burnley,0,0,D,1.9,3.48,4.42,2.094609460946095,1.3222222222222222,0.7723872387238726,1.0,1.0,1.0
2020-11-06,Southampton,Newcastle,2,0,H,2.04,3.58,3.7,0.8976897689768976,1.2592592592592593,-0.36156949028236174,1.0,6.0,5.0
2020-11-07,Crystal Palace,Leeds,4,1,H,2.92,3.37,2.47,0.9061488673139158,1.3611111111111114,-0.45496224379719563,1.0,4.0,6.0
2020-11-07,Chelsea,Sheffield United,4,1,H,1.39,4.93,8.23,2.642934196332255,0.6481481481481483,1.9947860481841064,1.0,4.0,0.0
2020-11-07,West Ham,Fulham,1,0,H,1.83,3.82,4.23,2.265372168284789,0.7777777777777778,1.4875943905070113,1.0,4.0,1.0
2020-11-08,West Brom,Tottenham,0,1,A,6.38,4.38,1.52,0.6548672566371682,4.736,-4.081132743362832,1.0,2.0,9.0
2020-11-08,Leicester,Wolves,1,0,H,2.38,3.14,3.28,1.1642084562438544,1.184,-0.019791543756145558,1.0,3.0,6.0
2020-11-21,Newcastle,Chelsea,0,2,A,6.39,4.54,1.5,1.017391304347826,3.037499999999999,-2.020108695652173,1.0,6.0,8.0
2020-11-21,Aston Villa,Brighton,1,2,A,2.19,3.61,3.21,3.2641304347826083,2.3625000000000003,0.9016304347826081,1.0,6.0,4.0
2020-11-21,Tottenham,Man City,2,0,H,4.1,4.03,1.81,0.7630434782608695,1.3499999999999999,-0.5869565217391304,1.0,5.0,8.0
2020-11-21,Man United,West Brom,1,0,H,1.34,5.34,9.21,0.8478260869565218,1.125,-0.27717391304347816,1.0,1.0,1.0
2020-11-22,Leeds,Arsenal,0,0,D,3.13,3.7,2.21,1.0336134453781514,1.721082089552239,-0.6874686441740876,1.0,4.0,6.0
2020-11-22,Liverpool,Leicester,3,0,H,1.9,3.92,3.82,1.421218487394958,2.9832089552238807,-1.5619904678289227,1.0,12.0,12.0
2020-11-22,Fulham,Everton,2,3,A,3.93,3.79,1.9,0.6460084033613447,1.2238805970149254,-0.5778721936535807,1.0,3.0,6.0
2020-11-22,Sheffield United,West Ham,0,1,A,3.06,3.26,2.43,0.3014705882352941,1.5298507462686566,-1.2283801580333624,1.0,1.0,4.0
2020-11-23,Wolves,Southampton,1,1,D,2.32,3.25,3.27,1.5171370967741937,1.2463768115942029,0.27076028517999084,1.0,7.0,7.0
2020-11-27,Crystal Palace,Newcastle,0,2,A,2.15,3.21,3.74,1.222222222222222,0.6330935251798561,0.589128697042366,1.0,7.0,5.0
2020-11-28,Brighton,Liverpool,1,1,D,5.32,4.19,1.62,1.765873015873016,1.9330673758865244,-0.1671943600135084,1.0,2.0,5.0
2020-11-28,Man City,Burnley,5,0,H,1.17,7.84,16.81,1.6481481481481481,0.9468085106382979,0.7013396375098503,1.0,4.0,2.0
2020-11-28,Everton,Leeds,0,1,A,2.02,3.72,3.57,4.238095238095238,2.8404255319148937,1.3976697061803445,1.0,7.0,6.0
2020-11-28,West Brom,Sheffield United,1,0,H,2.6,3.17,2.9,1.1919642857142858,0.8284574468085105,0.3635068389057753,1.0,2.0,0.0
2020-11-29,Southampton,Man United,2,3,A,3.8,3.57,2.0,1.8646616541353385,2.70979020979021,-0.8451285556548715,1.0,9.0,9.0
2020-11-29,Chelsea,Tottenham,0,0,D,2.1,3.52,3.53,1.4421992481203008,3.170454545454546,-1.728255297334245,1.0,7.0,12.0
2020-11-29,Arsenal,Wolves,1,2,A,2.13,3.28,3.72,0.8740601503759399,0.7316433566433567,0.1424167937325832,1.0,6.0,6.0
2020-11-30,Leicester,Fulham,1,2,A,1.54,4.35,6.15,1.5441176470588234,0.9729729729729728,0.5711446740858506,1.0,6.0,1.0
2020-12-05,Man City,Fulham,2,0,H,1.12,9.74,21.84,2.538129496402878,1.1682119205298012,1.3699175758730768,1.0,7.0,4.0
2020-12-05,West Ham,Man United,1,3,A,3.62,3.57,2.05,1.6920863309352523,1.6874172185430463,0.004669112392206021,1.0,10.0,12.0
2020-12-05,Burnley,Everton,1,1,D,4.02,3.5,1.97,0.24676258992805755,1.1357615894039734,-0.8889989994759159,1.0,3.0,9.0
2020-12-05,Chelsea,Leeds,3,1,H,1.54,4.5,5.82,2.4817266187050366,1.4018543046357617,1.079872314069275,1.0,8.0,9.0
2020-12-06,Sheffield United,Leicester,1,2,A,3.86,3.49,2.01,0.16767123287671234,2.04,-1.8723287671232878,1.0,1.0,12.0
2020-12-06,West Brom,Crystal Palace,1,5,A,2.9,3.21,2.58,1.006027397260274,0.9153846153846154,0.09064278187565866,1.0,5.0,6.0
2020-12-06,Tottenham,Arsenal,2,0,H,2.01,3.54,3.79,0.8942465753424658,0.7846153846153846,0.10963119072708116,1.0,8.0,7.0
2020-12-06,Liverpool,Wolves,4,0,H,1.52,4.25,6.59,2.3473972602739726,0.7846153846153846,1.562781875658588,1.0,15.0,9.0
2020-12-07,Brighton,Southampton,1,2,A,2.52,3.36,2.86,1.1012987012987014,1.8728834355828223,-0.7715847342841209,1.0,3.0,8.0
2020-12-11,Leeds,West Ham,1,2,A,2.18,3.67,3.2,1.1597419354838707,2.101090909090909,-0.9413489736070382,1.0,5.0,7.0
2020-12-12,Wolves,Aston Villa,0,1,A,2.34,3.27,3.21,0.4153846153846153,1.2934131736526946,-0.8780285582680794,1.0,8.0,9.0
2020-12-12,Newcastle,West Brom,2,1,H,2.51,3.25,2.95,1.8276923076923077,0.8536526946107784,0.9740396130815293,1.0,6.0,1.0
2020-12-12,Man United,Man City,0,0,D,4.39,4.16,1.74,0.4153846153846153,1.5520958083832335,-1.1367111929986182,1.0,4.0,8.0
2020-12-12,Everton,Chelsea,1,0,H,4.36,4.12,1.75,1.3292307692307692,2.8455089820359283,-1.516278212805159,1.0,7.0,11.0
2020-12-13,Southampton,Sheffield United,3,0,H,1.72,3.83,4.95,2.8176100628930816,0.6362130177514793,2.181397045141602,1.0,9.0,0.0
2020-12-13,Crystal Palace,Tottenham,1,1,D,4.71,3.75,1.76,0.5916981132075471,2.0676923076923077,-1.4759941944847608,1.0,7.0,13.0
2020-12-13,Fulham,Liverpool,1,1,D,8.44,5.66,1.34,1.549685534591195,2.3327810650887577,-0.7830955304975626,1.0,3.0,6.0
2020-12-13,Arsenal,Burnley,0,1,A,1.54,4.22,6.42,1.690566037735849,0.6362130177514793,1.0543530199843696,1.0,6.0,2.0
2020-12-13,Leicester,Brighton,3,0,H,2.03,3.49,3.76,1.3524528301886791,1.9086390532544377,-0.5561862230657586,1.0,6.0,7.0
2020-12-15,Wolves,Chelsea,2,1,H,5.44,3.79,1.68,0.5838323353293413,1.2470930232558137,-0.6632606879264724,1.0,8.0,11.0
2020-12-15,Man City,West Brom,1,1,D,1.12,9.96,22.77,3.339520958083832,0.5441860465116278,2.7953349115722044,1.0,10.0,1.0
2020-12-16,Fulham,Brighton,0,0,D,2.9,3.28,2.51,1.2833333333333332,2.0517241379310347,-0.7683908045977015,1.0,4.0,7.0
2020-12-16,West Ham,Crystal Palace,1,1,D,2.1,3.4,3.64,1.7500000000000002,1.3298212005108558,0.4201787994891444,1.0,10.0,9.0
2020-12-16,Liverpool,Tottenham,2,1,H,1.79,3.84,4.44,1.4,1.595785440613027,-0.19578544061302705,1.0,18.0,14.0
2020-12-16,Leicester,Everton,0,2,A,2.2,3.55,3.22,1.4,1.2158365261813537,0.18416347381864617,1.0,9.0,10.0
2020-12-16,Leeds,Newcastle,5,2,H,1.76,3.89,4.49,0.6533333333333334,1.5045977011494251,-0.8512643678160917,1.0,5.0,8.0
2020-12-16,Arsenal,Southampton,1,1,D,2.25,3.47,3.19,0.8750000000000001,1.8807471264367819,-1.0057471264367819,1.0,6.0,11.0
2020-12-17,Aston Villa,Burnley,0,0,D,1.74,3.84,4.73,3.3519553072625694,1.0128913443830572,2.3390639628795125,1.0,6.0,5.0
2020-12-17,Sheffield United,Man United,2,3,A,7.14,4.54,1.46,0.3258845437616387,2.9465930018416207,-2.620708458079982,1.0,1.0,15.0
2020-12-19,Crystal Palace,Liverpool,0,7,A,6.2,4.45,1.52,1.8710865561694292,1.2078804347826089,0.6632061213868203,1.0,8.0,7.0
2020-12-19,Southampton,Man City,0,1,A,6.48,4.63,1.48,1.2668815224063845,0.9202898550724637,0.34659166733392077,1.0,12.0,9.0
2020-12-19,Everton,Arsenal,2,1,H,2.42,3.44,2.93,1.5202578268876614,0.958635265700483,0.5616225611871785,1.0,10.0,7.0
2020-12-19,Newcastle,Fulham,1,1,D,2.58,3.25,2.87,1.559238796807858,1.3804347826086956,0.17880401419916248,1.0,9.0,4.0
2020-12-20,Brighton,Sheffield United,1,1,D,1.69,3.72,5.43,1.542572463768116,0.5627147766323024,0.9798576871358136,1.0,3.0,0.0
2020-12-20,Tottenham,Leicester,0,2,A,2.08,3.48,3.62,1.3843599033816425,1.6881443298969074,-0.30378442651526494,1.0,11.0,15.0
2020-12-20,Man United,Leeds,6,2,H,1.71,4.23,4.49,0.6526268115942029,1.8757159221076745,-1.2230891105134716,1.0,5.0,9.0
2020-12-20,West Brom,Aston Villa,0,3,A,3.69,3.7,1.99,0.23731884057971014,2.4309278350515466,-2.1936089944718367,1.0,5.0,12.0
2020-12-21,Chelsea,West Ham,3,0,H,1.49,4.63,6.29,2.198952879581152,1.4294554455445543,0.7694974340365979,1.0,11.0,10.0
2020-12-21,Burnley,Wolves,2,1,H,3.61,3.13,2.23,0.47120418848167545,0.6683168316831684,-0.1971126432014929,1.0,4.0,9.0
2020-12-26,Sheffield United,Everton,0,1,A,4.2,3.59,1.9,0.4564764681382757,1.5150296571830701,-1.0585531890447943,1.0,1.0,10.0
2020-12-26,Arsenal,Chelsea,3,1,H,4.06,3.59,1.93,0.5991253644314867,1.6527596260178947,-1.053634261586408,1.0,4.0,8.0
2020-12-26,Fulham,Southampton,0,0,D,3.19,3.32,2.32,0.8558933777592668,1.9833115512214738,-1.127418173462207,1.0,5.0,12.0
2020-12-26,Man City,Newcastle,2,0,H,1.12,9.31,23.28,2.0969387755102042,1.049808429118774,1.0471303463914303,1.0,11.0,8.0
2020-12-26,Leicester,Man United,2,2,D,3.01,3.55,2.32,1.3480320699708457,3.053014309171944,-1.7049822392010985,1.0,6.0,18.0
2020-12-26,Aston Villa,Crystal Palace,3,0,H,1.94,3.75,3.8,2.196793002915452,1.9442880600516068,0.25250494286384506,1.0,7.0,7.0
2020-12-27,Leeds,Burnley,1,0,H,1.75,3.98,4.5,2.0400237765008917,0.7331164349797891,1.3069073415211028,1.0,5.0,6.0
2020-12-27,West Ham,Brighton,2,2,D,2.37,3.32,3.11,1.5583514959381812,1.0150842945874001,0.5432672013507811,1.0,11.0,5.0
2020-12-27,Liverpool,West Brom,1,1,D,1.13,9.05,20.61,3.9667128987517333,0.4934437543133196,3.473269144438414,1.0,18.0,2.0
2020-12-27,Wolves,Tottenham,1,1,D,3.62,3.28,2.16,0.6800079255002971,1.4803312629399588,-0.8003233374396617,1.0,11.0,11.0
2020-12-28,Crystal Palace,Leicester,1,1,D,3.81,3.52,2.01,0.796208530805687,3.3838862559241702,-2.5876777251184833,1.0,5.0,15.0
2020-12-28,Chelsea,Aston Villa,1,1,D,1.69,4.18,4.72,0.5639810426540284,1.3933649289099526,-0.8293838862559242,1.0,14.0,15.0
2020-12-29,Brighton,Arsenal,0,1,A,3.22,3.38,2.29,0.7994634473507714,0.9422247772348374,-0.1427613298840661,1.0,4.0,4.0
2020-12-29,Burnley,Sheffield United,1,0,H,2.41,3.15,3.22,0.9327073552425664,0.46635367762128327,0.46635367762128316,1.0,7.0,1.0
2020-12-29,Southampton,West Ham,0,0,D,2.19,3.48,3.33,2.041487017342148,1.4133371658522564,0.6281498514898918,1.0,12.0,10.0
2020-12-29,West Brom,Leeds,0,5,A,3.59,3.67,2.03,1.2134713040145635,2.5697039379131934,-1.35623263389863,1.0,5.0,9.0
2020-12-29,Man United,Wolves,1,0,H,1.55,4.21,6.1,1.541822362747916,1.0278815751652772,0.5139407875826387,1.0,8.0,6.0
2020-12-30,Newcastle,Liverpool,0,0,D,9.81,5.93,1.29,1.5787375415282392,2.984996738421396,-1.4062591968931566,1.0,10.0,7.0
2021-01-01,Man United,Aston Villa,2,1,H,1.74,4.14,4.42,0.3862126245847176,1.9716242661448142,-1.5854116415600967,1.0,11.0,13.0
2021-01-01,Everton,West Ham,0,1,A,2.15,3.44,3.5,2.1241694352159466,1.529272667971298,0.5948967672446486,1.0,10.0,8.0
2021-01-02,Brighton,Wolves,3,3,D,2.66,3.15,2.85,1.0287298387096775,0.79920814479638,0.22952169391329746,1.0,4.0,6.0
2021-01-02,West Brom,Arsenal,0,4,A,5.78,4.01,1.61,0.452188940092166,1.5540158371040724,-1.1018268970119065,1.0,4.0,7.0
2021-01-02,Crystal Palace,Sheffield United,2,0,H,2.01,3.4,3.93,1.52613767281106,0.6660067873303168,0.8601308854807432,1.0,6.0,1.0
2021-01-02,Tottenham,Leeds,3,0,H,1.8,4.05,4.15,2.1963462804476634,1.7252747252747256,0.47107155517293786,1.0,11.0,9.0
